territorio,especie,profundidad,Cesped,Coral,Sedimento,Esponja,Columna
T1,S. acapulcoensis,Intermedio,14.6422629,17.97004992,0,0,0
T2,S. acapulcoensis,Intermedio,9.464400946,4.30200043,0,0,0
T3,S. acapulcoensis,Profundo,12.36051502,14.42060086,0,0,0
T4,S. acapulcoensis,Profundo,52.84301607,2.781211372,0,0,0
T5,S. acapulcoensis,Profundo,7.877461707,0.525164114,0,0,0
T6,S. acapulcoensis,Intermedio,11.17886179,0,0,0,0
T7,S. acapulcoensis,Intermedio,13.3432172,0,0,0,0
T8,S. acapulcoensis,Profundo,1.447643558,3.860382821,0,0,0
T9,S. acapulcoensis,Profundo,20.41181737,10.74306177,0,0,2.685765443
T10,S. acapulcoensis,Profundo,0,3.758927453,0,0,0
T11,S. acapulcoensis,Profundo,6.872852234,6.18556701,0,1.374570447,0.687285223
T12,S. acapulcoensis,Intermedio,23.53229562,0,0,0,0.735384238
T13,S. acapulcoensis,Intermedio,16.65025512,0,0,0,0.537105004
T14,S. acapulcoensis,Somero,24.20463922,0.550105437,0,0.550105437,0
T15,S. acapulcoensis,Somero,0.643984115,0.643984115,0,0,0
T16,S. acapulcoensis,Somero,36.84802353,12.45566992,0.518986247,0,0.518986247
T17,S. acapulcoensis,Somero,58.71535531,5.91094181,0,0.394062787,0
T18,S. acapulcoensis,Somero,36.50477289,5.664533725,0,0,0.629392636
T19,S. acapulcoensis,Somero,69.53718628,15.65737969,0,0.460511167,0
T20,S. acapulcoensis,Somero,28.48946483,8.90295776,0,0,0.593530517
T21,S. acapulcoensis,Somero,60.77965628,7.54506078,0,0,0
T22,S. acapulcoensis,Profundo,7.299270073,7.299270073,0,0,0.561482313
T23,S. acapulcoensis,Intermedio,19.74225391,0,0,1.645187826,0
T24,S. acapulcoensis,Somero,30.32490975,0,0,0,0
T25,S. acapulcoensis,Intermedio,9.263343626,1.323334804,0,0,0
T26,S. acapulcoensis,Intermedio,1.622937517,1.622937517,0,0,0
T27,S. acapulcoensis,Somero,10.66531234,0,0,0,0
T28,S. acapulcoensis,Somero,15.06276151,0,0,0,0
T29,S. acapulcoensis,Somero,17.10730949,7.776049767,0,0,0
T30,S. acapulcoensis,Somero,44.61756374,6.373937677,0,0,0
T31,S. flavilatus,Intermedio,37.69537236,2.758197977,0.919399326,1.838798652,0
T32,S. flavilatus,Intermedio,33.13471879,0,0,0.871966284,0
T33,S. flavilatus,Profundo,2.085505735,0,0,0,0
T34,S. flavilatus,Intermedio,23.29644729,4.659289458,0,0,0
T35,S. flavilatus,Intermedio,12.60752512,3.545866439,0.78797032,0,0
T36,S. flavilatus,Intermedio,10.33187226,1.878522229,0,0,0
T37,S. flavilatus,Intermedio,46.79552391,2.034587996,2.034587996,0,0
T38,S. flavilatus,Intermedio,8.498583569,0,0,0,0
T39,S. flavilatus,Profundo,9.170806267,1.146350783,0,0,0
T40,S. flavilatus,Profundo,8.166969147,0,0,0,0
T41,S. flavilatus,Profundo,7.504690432,11.25703565,0,0,0
T42,S. flavilatus,Profundo,3.605335897,4.326403077,0,0,0
T43,S. flavilatus,Profundo,23.06029306,1.441268316,1.441268316,0,0
T44,S. flavilatus,Intermedio,21.61933022,0,0,0,0
T45,S. flavilatus,Profundo,43.90243902,0,0,0,0
T46,S. flavilatus,Profundo,140.6593407,0,0,0,0
T47,S. flavilatus,Profundo,47.99127431,2.18142156,1.09071078,2.18142156,3.27213234
T48,S. flavilatus,Somero,6.548788474,0,0,0,0
T49,S. flavilatus,Somero,8.666345691,0,0,0,0
T50,S. flavilatus,Intermedio,18.14997612,0,0,0,0
T51,S. flavilatus,Intermedio,48.22256569,5.564142195,0,1.854714065,0
T52,S. flavilatus,Somero,24.35269419,0,0,0,0
T53,S. flavilatus,Intermedio,20.63524176,1.21383775,0,0,0
T54,S. flavilatus,Intermedio,26.30194634,0,0,0,0
T55,S. flavilatus,Somero,17.24030233,1.873945905,0,0.749578362,0.749578362
T56,S. flavilatus,Somero,53.87323944,10.56338028,1.056338028,0,0
T57,S. flavilatus,Somero,29.4384881,0,0,0,0
T58,S. flavilatus,Intermedio,13.440506,0.395309,0,0,0
T59,S. flavilatus,Intermedio,81.83691492,18.25139829,0,0.588754784,0
T60,S. flavilatus,Intermedio,37.61904762,0,0,0,0
